Registrant Name,Sector,Amount
"MindCare Solutions Group, Inc.",Health Care,2650.0
Purdue Pharma LP,Pharmaceuticals,2600.0
Vermont Agricultural Farms Association,Agriculture ,2550.0
Associaion of Home Appliance Manufacturers,Energy,2500.0
MillerCoors LLC,Alcohol,2492.7599999999993
"Mt. Mansfield Television, Inc/WCAX",Media & Journalism,2492.0
"MVP Health Plan, Inc",Health Care,2405.87
"Pike Industries, Inc.",Manufacturing,2380.0
"Air Transport Association of America, Inc.",Transportation,2350.0
The American Lung Assocation of New England DBA,Health Care,2250.0
Philips Lighting,Energy,2210.0
Village of Jacksonville Electric Company,Government & Public Affairs,2167.3199999999997
Vermont Citizens Campaign for Health,Health Care,2124.0
"Metlife, Inc",Insurance,2080.0
Software & Information Industry Association,Telecommunications,2000.0
Vermont Assn of Naturepathic Physicians ( VANP),Health Care,2000.0
"Vermont Green Line Devco, LLC",Energy,1847.42
American Lung Assocation of New England dba American Lung Assn. in Vermont,Health Care,1835.5
Vermont Assocaition of Realtors,Real Estate,1825.0
Tungsten Network,Business,1761.79
American Tort Reform Association,Civil & Criminal Justice,1680.0
Brennan Center for Justice,Government & Public Affairs,1644.0
"Vermont Railway, Inc",Transportation,1586.51
Washington County Mental Health,Health Care,1528.12
National Rifle Assocation of America,Gun,1518.1
Vermont Early Childhood Alliance,Children & Youth,1495.0
DirectTV,Telecommunications,1495.0
"Community Health Accountable Care, LLC",Health Care,1470.6
"Endyne Labs, Inc.",Pharmaceuticals,1400.0
Juvenile Products Manufacturers Association,Manufacturing,1300.0
Vermont Assn for the Education of Young Children,Childern & Youth,1280.6000000000001
Vermont Clean Water Coalition Inc,Environment,1205.0
Charter Communications,Telecommunications,1200.0
United Children's Services,Childern & Youth,1180.0
Congressional Sportsmen's Foundation,Environment,1160.59
Sanofi US,Health Care,1108.34
The Hertz Corporation,Transportation,1036.0
Vermont Coaliton for Disability Rights,Accessibility,1000.0
Great River Hydro,Energy,1000.0
U.S. Chamber Institute for Legal Reform,Civil & Criminal Justice,912.0
United Academics (AAUP/AFT),Education,775.0
Village of Jackonsville Electric Company,Government & Public Affairs,765.5
International Emissions Trading Association (IETA),Energy,673.25
Helen Porter Healthcare and Rehabiliation Ctr.,Health Care,661.3
Convention of States Action,Government & Public Affairs,632.45
American Isurance Association,Insurance,610.0
Town of Readsboro Electric Light Department,Government & Public Affairs,590.5799999999999
Lund Family Center,Children & Youth,539.55
Vermont League of Conservation Voters,Environment,525.75
Brookhaven Treatment and Learining Center,Health Care,494.0
Concerned Vermont Parents,Children & Youth,480.0
Northeast Kingdom Human Services,Health Care,375.0
Housing Vermont ,Housing,371.0
American Silencer Association,Gun,346.0
MedImmune,Pharmaceuticals,321.93
Local Motion,Transportation,274.98
U.S. Term Limits,Government & Public Affairs,266.31
Southwestern Vermont Health Care (Southwestern Vermont Medical Center),Health Care,250.5
"Honeywell International, Inc.",Energy,214.8
"American Lung Assn. of New England dba American Lung Assn. of Vermont, The",Health Care,200.0
IMS Health,Health Care,200.0
TDS Telecom - Ludlow Telephone Company,Telecommunications,173.0
"Champlain Valley Area Agency on Aging, Inc",Elderly,100.0
Adapt Pharma,Pharmaceuticals,38.15
IBEW Local Union 300,Labor Unions,0.0
"Metlife, Inc.",Insurance,0.0
"Capital Connections, LLC",Bank & Finance,0.0
American Assn. of Preferred Provider Org,Health Care,0.0
American Cancer Society,Health Care,0.0
School Choices Vermont,Education,0.0
Vermont Association for Mental Health,Health Care,0.0
eBay,E-commerce,0.0
United Insurance Company of America,Insurance,0.0
"AIV Insurance Services, Inc.",Insurance,0.0
ProSelect Insurance Company,Insurance,0.0
Porter Medical Center,Health Care,0.0
USAA,Insurance,0.0
"MetLife, Inc.",Insurance,0.0
Abilis,Health Care,0.0
Vermont Association for Health Physical Education Recreation and Dance,Health Care,0.0
"Weidmann Electrical Technology, Inc.",Energy,0.0
Vermont Workers Center,Health Care,0.0
American Financial Service Association,Bank & Finance,0.0
New England Organ Bank,Health Care,0.0
Vermont Health Access Network,Health Care,0.0
Beaver Wood Energy,Energy,0.0
Vermont Health Advocacy Network,Health Care,0.0
"Coburn & Feeley Property Management, Inc.",Real Estate,0.0
Vermont Rail System,Transportation,0.0
Clean Energy Group,Energy,0.0
Vermont Probate Judges,Civil & Criminal Justice,0.0
Citizens for Responsible Composting,Environment,0.0
Citigroup Management Corp.,Bank & Finance,0.0
Swisher International,Tobacco,0.0
The Innocence Project,Civil & Criminal Justice,0.0
"Endyne, Inc",Pharmaceuticals,0.0
Vermont Center for the Deaf and Hard of Hearing,Accessibility,0.0
Capital Connections LLC,Bank & Finance,0.0
Town of Middlesex,Government & Public Affairs,0.0
"Excellence in Education National, Inc.",Education,0.0
"Vermont Community Wind Farm, LLC",Energy,0.0
Vermont State Rifle & Pistol Association,Gun,0.0
"Vermont Education Network, Inc.",Education,0.0
Association of VT Independent Colleges,Education,0.0
"Credit Suisse Asset Management, LLC",Bank & Finance,0.0
"Coburn & Feeley Management, Inc.",Real Estate,0.0
