bill,year,date_intro,title,act,sector
H.384,2017,2/22/17,An act relating to a study committee on justice-involved women who are custodial parents of minor children,,
S.160,2013,3/19/13,An act relating to a study committee on the regulation and taxation of marijuana,,
H.712,2014,1/28/14,"An act relating to a study of a noncriminal, public health approach to illicit drug use",,
H.170,2015,2/10/15,"An act relating to a study of a noncriminal, public health approach to illicit drug use",,
H.763,2018,1/30/18,An act relating to a study of approaches to greenhouse gas reduction,,
H.745,2016,1/28/16,An act relating to a study of career technical education,,
H.727,2016,1/28/16,An act relating to a study of credit-based insurance scores and insurance rates,,
H.766,2016,1/28/16,An act relating to a study of expanding Dr. Dynasaur,,
H.451,2017,2/24/17,An act relating to a study of fragrances in State buildings,,
H.585,2014,1/10/14,An act relating to a study of law enforcement structure in the State,,
H.481,2012,1/4/12,An act relating to a study of payday lending in Vermont,,
S.267,2014,1/7/14,An act relating to a study of staff secure residential programs and the Woodside Juvenile Rehabilitation Center,,
H.231,2011,2/11/11,"An act relating to a study of the workers' compensation program, health care coverage, and a single-payer health care system",,
H.21,2015,1/15/15,An act relating to a study of Vermont's public campaign financing option,,
S.195,2016,1/5/16,An act relating to a study on whether to require large buildings to install solar generation,,
S.21,2017,1/12/17,An act relating to a study on whether to require large buildings to install solar generation,,
S.127,2015,3/12/15,An act relating to a study regarding massage therapy licensure,,
H.62,2017,1/18/17,An act relating to a study regarding the use of lights on motor vehicles,,
H.818,2018,2/1/18,An act relating to a surcharge on income taxes,,
H.331,2013,2/21/13,An act relating to a systemic response to opioid addiction,,
H.321,2011,2/24/11,An act relating to a task force on children and families affected by the criminal justice system,,
H.457,2013,3/1/13,An act relating to a task force on children and families affected by the criminal justice system,,
H.301,2013,2/20/13,An act relating to a task force on direct care workers,,
S.313,2014,1/7/14,An act relating to a tax credit for donations made to socially responsible small farms,,
H.729,2016,1/28/16,An act relating to a tax deduction for education loan payments,,
S.167,2013,4/11/13,An act relating to a tax exemption for land that provides public access to a state body of water,,
H.506,2013,3/12/13,An act relating to a tax on carbon content in fuels,,
H.479,2012,1/4/12,An act relating to a tax on the storage of spent nuclear fuel and a tax to fund postclosure activities at nuclear generating plants,,
H.757,2012,2/7/12,An act relating to a temporary moratorium on the enforcement of the sales tax on prewritten software that is accessed remotely,,
H.795,2012,4/20/12,An act relating to a traffic light in the town of Ferrisburgh,,
H.462,2013,3/1/13,An act relating to a Transportation Demand Management Pilot Program,,
H.207,2013,2/7/13,An act relating to a unified budget,,
H.689,2016,1/27/16,An act relating to a Universal Basic Income study,,
H.248,2017,2/14/17,"An act relating to a universal, publicly financed primary care system",,
S.140,2015,3/17/15,An act relating to a Vermont false claims act,,
H.82,2011,1/21/11,An act relating to a Vermont hospital security plan,,
H.663,2012,1/31/12,An act relating to a veteran designation on motor vehicle licenses,,
H.49,2013,1/22/13,An act relating to a veteran designation on motor vehicle licenses and nondriver identification cards,,
H.697,2014,1/24/14,An act relating to a water pollution abatement grant for the Village of Brownsville,,
H.413,2017,2/23/17,An act relating to a weatherization of subsidized housing tax credit,,
H.616,2012,1/27/12,An act relating to a wholesale bait dealer's permit and a fee for use of nonbiodegradable containers,,
H.514,2016,1/5/16,An act relating to a Wildlife Management and Conservation Stamp for the taking of fish or wildlife,,
H.702,2016,1/28/16,An act relating to a workforce housing demonstration project,,
H.642,2016,1/26/16,An act relating to a working group concerning the Division of Vocational Rehabilitation,,
H.503,2013,3/12/13,An act relating to abandoned swimming pools,,
H.159,2015,2/10/15,An act relating to abandoned swimming pools,,
H.708,2012,1/31/12,An act relating to abolishing adverse possession actions,,
H.307,2013,2/20/13,An act relating to abolishing adverse possession actions,,
H.570,2018,1/5/18,An act relating to abolishing adverse possession actions,,
H.717,2014,1/28/14,An act relating to abortions and insurance coverage,,
H.356,2011,2/25/11,An act relating to absence from work for health care and safety,,
H.208,2013,2/7/13,An act relating to absence from work for health care and safety,,
S.15,2015,1/14/15,An act relating to absence from work for health care and safety,,
S.35,2015,1/22/15,An act relating to access to Department for Children and Families' records of abuse and neglect,,
H.275,2017,2/15/17,An act relating to access to emergency buprenorphine,,
H.681,2016,1/27/16,An act relating to access to employee restrooms for individuals living with an inflammatory bowel disease,,
S.147,2013,3/12/13,An act relating to access to medication prescribed by a health care professional,,
H.307,2015,2/25/15,An act relating to access to personnel records,,
S.23,2013,1/15/13,An act relating to access to records in adult protective services investigations,,
H.111,2011,1/27/11,An act relating to access to records under personal service or privatization contracts entered into by the state,,
H.564,2014,1/9/14,An act relating to access to restroom facilities,,
H.698,2014,1/24/14,An act relating to access to telecommunications conduit,,
H.224,2015,2/17/15,An act relating to access to telecommunications conduit,,
S.258,2016,1/5/16,An act relating to access to treatment for patients with a terminal illness,,
S.37,2017,1/18/17,An act relating to access to treatment for patients with a terminal illness,,
H.647,2018,1/18/18,An act relating to access to Vermont Prescription Monitoring System data by academic researchers,,
H.72,2013,1/24/13,An act relating to accessory dwellings in flood hazard areas,,
H.808,2016,1/29/16,An act relating to accommodations for pregnant employees,,
H.499,2017,3/3/17,"An act relating to achieving better educational outcomes for students at a cost that parents, voters, and taxpayers value",,
H.27,2013,1/17/13,An act relating to Act 250 and oil pipelines,,
S.58,2013,1/25/13,An act relating to Act 250 and oil pipelines,,
H.448,2013,3/1/13,An act relating to Act 250 and primary agricultural soils,,
H.449,2013,3/1/13,An act relating to Act 250 and primary agricultural soils,,
H.662,2016,1/27/16,An act relating to Act 250 and slate quarries,,
H.365,2013,2/26/13,An act relating to Act 250 jurisdiction in flood hazard areas and river corridors,,
H.321,2017,2/17/17,An act relating to Act 250 jurisdiction in towns that do and do not have both permanent zoning and subdivision bylaws,,
H.220,2011,2/10/11,An act relating to Act 250 jurisdiction in towns that do and do not have both permanent zoning subdivisions and subdivision bylaws,,
H.314,2015,2/25/15,An act relating to Act 250 jurisdiction in towns that do and do not have both permanent zoning subdivisions and subdivision bylaws,,
H.630,2018,1/16/18,An act relating to Act 250 jurisdiction over large housing projects,,
H.725,2012,2/1/12,An act relating to Act 250 review in towns with plans and zoning bylaws,,
H.369,2013,2/26/13,An act relating to actions against town residents who petition town government,,
H.224,2013,2/8/13,An act relating to acupuncture coverage in Green Mountain Care,,
H.357,2011,2/25/11,An act relating to adding a person's name to the statewide voter checklist when he or she reaches 18 years of age,,
H.520,2016,1/7/16,An act relating to adding acupuncture to a physician's scope of practice,,
H.253,2015,2/19/15,An act relating to adding post-traumatic stress disorder to the list of qualified medical conditions for therapeutic use of cannabis and waiving the six-month professional-patient relationship requirement for veterans with post-traumatic stress disorder,,
H.206,2017,2/7/17,An act relating to adding post-traumatic stress disorder to the list of qualified medical conditions for therapeutic use of cannabis and waiving the three-month professional-patient relationship requirement for veterans with post-traumatic stress disorder,,
H.228,2015,2/17/15,An act relating to adding saliva testing to the DUI statutes,,
H.532,2012,1/13/12,An act relating to adding Vermont Route 132 to the state highway system,,
H.197,2013,2/5/13,An act relating to adding Vermont Route 132 to the state highway system,,
H.145,2015,2/6/15,An act relating to adding Vermont Route 132 to the State Highway system,,
H.572,2018,1/5/18,An act relating to addition of a new highway segment in the Town of Brattleboro to the State highway system,,
H.167,2011,2/3/11,An act relating to additional payment for solar power that is net metered,,
H.812,2014,2/4/14,An act relating to addressing the impacts of climate change in Vermont,,
H.164,2015,2/10/15,An act relating to adequate shelter for dogs housed outdoors,,
H.310,2017,2/17/17,An act relating to adequate shelter for livestock,,
H.512,2016,1/5/16,An act relating to adequate shelter of dogs and cats,,
S.259,2014,1/7/14,An act relating to adjusting the base education amount,,
H.340,2013,2/21/13,An act relating to adjustment of unemployment compensation benefits,,
H.230,2011,2/11/11,An act relating to adjustments to the definition of household income in the income sensitivity program,,
S.220,2018,1/3/18,An act relating to administration and enforcement of agricultural water quality violations,,
S.232,2012,1/3/12,An act relating to administration and inspection of agricultural operations,,
S.171,2012,1/3/12,An act relating to administration of the animal spaying and neutering program,,
H.879,2014,3/18/14,An act relating to administrative hearing officers,,
H.82,2013,1/24/13,An act relating to adopting a statewide calendar for public schools,,
H.157,2017,1/31/17,An act relating to adopting a statewide calendar for public schools,,
H.755,2016,1/28/16,An act relating to adopting modern performance standards for high efficiency energy products,,
H.311,2015,2/25/15,An act relating to adopting revisions to Article 7 of the Uniform Commercial Code,,
H.351,2015,2/27/15,An act relating to adopting revisions to the Vermont Common Interest Ownership Act,,
H.767,2018,1/30/18,An act relating to adopting the ThinkVermont Innovation Initiative,,
H.738,2018,1/30/18,An act relating to adopting the Uniform Business Organizations Code,,
H.36,2017,1/12/17,An act relating to adopting the Uniform Limited Partnership Act,,
H.337,2013,2/21/13,An act relating to adopting the Uniform Manufactured Housing Act,,
H.290,2011,2/18/11,An act relating to adult protective services,,
S.24,2013,1/15/13,An act relating to adult protective services reporting requirements,,
H.358,2011,2/25/11,An act relating to advanced practice registered nurses,,
H.129,2011,1/27/11,An act relating to advanced practice registered nurses and mental health treatment,,
H.203,2015,2/12/15,An act relating to advancing Vermont's health care reform initiatives,,
H.3,2015,1/8/15,An act relating to adverse possession,,
H.484,2013,3/12/13,An act relating to advertising and information provided by limited services pregnancy centers,,
H.160,2011,2/3/11,An act relating to advertising as a local business,,
S.197,2014,1/7/14,An act relating to agency error in the 3SquaresVT Program,,
H.661,2016,1/27/16,An act relating to Agency of Natural Resources permits to be used in proceedings under 10 V.S.A. chapter 151,,
H.326,2015,2/26/15,An act relating to aggravated murder for killing a firefighter or an emergency medical provider,,
H.340,2017,2/21/17,An act relating to aggravated murder for killing a firefighter or an emergency medical provider,,
H.422,2013,2/28/13,An act relating to aggravated murder for killing a firefighter or an emergency services provider,,
H.556,2018,1/3/18,An act relating to agreements not to compete,,
S.162,2013,3/19/13,An act relating to agricultural facility fraud,,
H.678,2018,1/23/18,An act relating to agricultural subsurface tile drainage,,
H.344,2017,2/21/17,An act relating to airport hazard areas and construction or alteration of structures,,
H.91,2013,1/25/13,An act relating to alcoholic beverage sampling,,
S.116,2013,2/19/13,An act relating to alcoholic beverage tastings,,
H.176,2013,2/5/13,An act relating to alcoholic beverages,,
H.371,2017,2/22/17,An act relating to alcoholic beverages,,
H.748,2012,2/1/12,An act relating to all-terrain vehicle registration and operation,,
S.135,2012,1/3/12,An act relating to all-terrain vehicle registration and operation along Vermont Route 105,,
H.808,2018,2/1/18,An act relating to all-terrain vehicles,,
S.310,2014,1/7/14,An act relating to allocating clean energy development fund proceeds,,
H.762,2016,1/28/16,An act relating to allocating siting approval of electric generation between the District Commissions and the Public Service Board,,
H.772,2012,3/16/12,An act relating to allocation of federal rental subsidies,,
H.541,2016,1/12/16,An act relating to allocation of fine proceeds from enforcement of the State's distracted driving laws,,
H.91,2017,1/19/17,An act relating to allocation of monies collected from enforcement of distracted driving laws,,
S.230,2018,1/3/18,An act relating to allocation of the energy efficiency charge among customer classes,,
H.849,2014,2/4/14,An act relating to allowable increases in education spending,,
H.775,2012,3/20/12,An act relating to allowed interest rates for installment loans,,
H.595,2012,1/26/12,An act relating to allowing 16-year-olds to donate blood,,
H.798,2018,2/1/18,An act relating to allowing a court to order child support to be continued until the child attains 26 years of age for purposes of health insurance and cash medical support,,
H.183,2011,2/8/11,An act relating to allowing a safety inspection of rental property,,
H.282,2011,2/18/11,"An act relating to allowing a state employee, teacher, or municipal employee one opportunity to change the beneficiary indicated on his or her survivorship option",,
H.597,2012,1/26/12,An act relating to allowing a taxpayer to claim a renter rebate for a portion of a taxable year,,
S.127,2012,1/3/12,An act relating to allowing a taxpayer to claim a renter rebate for a portion of a taxable year,,
H.397,2013,2/27/13,An act relating to allowing a taxpayer to claim a renter rebate for a portion of a taxable year,,
H.397,2017,2/22/17,An act relating to allowing a tied candidate to withdraw after a general election,,
H.742,2016,1/28/16,An act relating to allowing a town to regulate solar and wind generation if the town contributes to a fund to support renewable energy,,
H.359,2017,2/21/17,An act relating to allowing a town to regulate solar and wind generation if the town contributes to a fund to support renewable energy,,
H.316,2015,2/25/15,An act relating to allowing a voter's spouse to pick up an early voter absentee ballot,,
H.189,2017,2/3/17,An act relating to allowing a voter's spouse to pick up an early voter absentee ballot,,
H.845,2014,2/4/14,An act relating to allowing certain employees who exercise law enforcement powers to receive an early retirement allowance equal to their normal retirement allowance,,
H.223,2011,2/10/11,An act relating to allowing land used as private shooting grounds to qualify for the current use program,,
H.142,2015,2/6/15,An act relating to allowing members of the General Assembly to be compensated for time spent on constituent services when the General Assembly is not in session,,
H.48,2011,1/14/11,An act relating to allowing merchants to include the sales tax in the price,,
H.400,2013,2/27/13,An act relating to allowing municipalities to adopt bylaws regulating commercial building facades,,
H.169,2015,2/10/15,An act relating to allowing municipalities to adopt bylaws regulating commercial building facades,,
S.50,2015,1/29/15,An act relating to allowing municipalities to adopt bylaws regulating commercial building facades,,
H.601,2016,1/21/16,An act relating to allowing municipalities to retain certain types of education funding when the school district in that town merges,,
H.886,2018,2/7/18,An act relating to allowing pharmacists to disclose the cash price of prescription drugs,,
H.651,2016,1/27/16,An act relating to allowing pregnant individuals to enroll in Exchange plans at any time,,
H.255,2011,2/15/11,An act relating to allowing solid waste districts to transport and dispose of electronic waste under the state electronic waste recycling plan,,
H.704,2012,1/31/12,An act relating to allowing the netting of losses in the calculation of household income,,
H.372,2015,3/10/15,An act relating to allowing the selling of carbon offsets from State land in regulatory carbon markets,,
H.372,2017,2/22/17,An act relating to allowing towns to eliminate the offices of grand juror and town agent,,
H.261,2011,2/16/11,An act relating to allowing towns to replace elected listers with appointed appraisers,,
H.42,2013,1/18/13,An act relating to allowing voters to register and vote on the day of an election,,
H.167,2017,2/1/17,An act relating to alternative approaches to addressing low-level illicit drug use,,
H.687,2012,1/31/12,An act relating to alternative licensing of secondary teachers,,
H.673,2016,1/27/16,An act relating to alternative work arrangements,,
S.161,2018,1/3/18,An act relating to alternatives to animal testing,,
H.527,2016,1/8/16,An act relating to amended distracted driving laws,,
H.583,2016,1/20/16,An act relating to amending 2015 Acts and Resolves No. 46,,
H.206,2011,2/8/11,An act relating to amending Act 250 to support growth in compact urban and village centers surrounded by countryside,,
S.110,2011,4/21/11,An act relating to amending Act 250 to support growth in compact urban and village centers surrounded by countryside,,
S.199,2014,1/7/14,An act relating to amending laws relating to lobbyists,,
S.150,2012,1/3/12,An act relating to amending lobbyist reporting forms and deadlines,,
H.553,2012,1/17/12,An act relating to amending perpetual conservation easements,,
H.185,2013,2/5/13,An act relating to amending perpetual conservation easements,,
S.119,2013,2/20/13,An act relating to amending perpetual conservation easements,,
H.841,2014,2/4/14,An act relating to amending the approval process for supervisory union budgets,,
S.64,2011,2/11/11,An act relating to amending the attorney general's term of office from two years to four years,,
H.873,2018,2/6/18,An act relating to amending the excess spending calculation,,
S.132,2012,1/3/12,An act relating to amending the membership of the Vermont criminal justice training council,,
S.110,2013,2/15/13,An act relating to amending the Open Meeting Law,,
H.388,2013,2/26/13,An act relating to amending the required contents of driver's licenses and nondriver identification cards,,
H.45,2017,1/13/17,An act relating to amending the settlement patterns criterion of Act 250,,
H.874,2016,3/22/16,An act relating to amending the settlement patterns criterion under Act 250 (10 V.S.A. chapter 151),,
H.717,2016,1/28/16,An act relating to amendments to Act 46,,
S.158,2016,1/5/16,An act relating to amendments to Act 46 and transferring the property and debt of merged districts,,
H.7,2017,1/6/17,An act relating to amendments to Act 46 to extend time frames,,
H.15,2017,1/10/17,An act relating to amendments to Act 46 to facilitate the approval of alternative governance structures and extend time frames,,
S.15,2017,1/11/17,An act relating to amendments to Act 46 to facilitate the approval of alternative governance structures and extend time frames,,
H.770,2014,1/31/14,"An act relating to an ""Economic Bill of Rights""",,
H.44,2013,1/18/13,"An act relating to an ""I Support Veterans"" license plate",,
H.668,2016,1/27/16,An act relating to an Adult Protective Services consultation prior to issuing certain prescriptions,,
H.718,2016,1/28/16,An act relating to an aggregate common level of appraisal,,
H.202,2015,2/12/15,An act relating to an annual permit for overdimension logging and forestry equipment,,
H.478,2012,1/4/12,"An act relating to an appropriation for water quality staff of the agency of agriculture, food and markets",,
S.286,2014,1/7/14,An act relating to an assault of a correctional officer,,
S.213,2014,1/7/14,An act relating to an employee's use of benefits,,
S.133,2015,3/12/15,An act relating to an employee's use of benefits,,
H.669,2014,1/23/14,An act relating to an Employer Group Waiver Plan,,
S.152,2018,1/3/18,An act relating to an endorsement for three-wheeled motorcycles,,
H.332,2011,2/25/11,An act relating to an environmental commission for Vermont in the 21st century,,
H.428,2015,3/10/15,An act relating to an environmental impact fee on utilities and the Vermont Clean Water Fund,,
H.513,2012,1/10/12,An act relating to an environmental review board that hears appeals and enforcement actions concerning state environmental permits,,
H.330,2017,2/21/17,An act relating to an excess spending penalty for fiscal year 2018,,
S.161,2016,1/5/16,An act relating to an exemption from the motorcycle helmet law for parade participants,,
S.138,2017,3/22/17,An act relating to an exemption from the motorcycle helmet law for parade participants,,
H.598,2012,1/26/12,An act relating to an exemption from Vermont's meals tax for nonprofit institutions,,
H.330,2013,2/21/13,An act relating to an exemption from Vermont's meals tax for nonprofit institutions,,
H.419,2015,3/10/15,An act relating to an expedited Act 250 permitting process for counties with high unemployment,,
H.588,2016,1/20/16,An act relating to an extended producer responsibility program for unused prescription drugs,,
H.350,2011,2/25/11,An act relating to an incentive for families receiving reduced price meals to apply for 3SquaresVT,,
H.356,2015,2/27/15,An act relating to an income tax checkoff for the General Fund,,
H.93,2011,1/25/11,An act relating to an income tax credit for home child care,,
S.235,2018,1/3/18,An act relating to an income tax credit for home child care,,
H.238,2015,2/18/15,An act relating to an income tax credit for home modifications required by a disability or physical hardship,,
H.221,2017,2/9/17,An act relating to an income tax deduction for home modifications required by a disability or physical hardship,,
S.294,2018,1/12/18,An act relating to an income tax deduction for home modifications required by a disability or physical hardship,,
H.472,2015,3/10/15,An act relating to an occupancy fee,,
S.126,2015,3/11/15,An act relating to an occupancy fee,,
H.217,2017,2/9/17,An act relating to an occupancy fee,,
S.81,2017,2/10/17,An act relating to an occupancy fee,,
H.711,2014,1/28/14,An act relating to an unemployment insurance slope,,
H.371,2011,3/8/11,An act relating to animal hoarding,,
H.711,2012,1/31/12,An act relating to animal investigators and sheltering livestock,,
H.163,2011,2/3/11,An act relating to annual fishing tournament fees,,
H.18,2011,1/11/11,An act relating to antique motor vehicle registration plates,,
H.40,2011,1/14/11,An act relating to antique motor vehicle year-of-manufacture registration plates,,
H.451,2013,3/1/13,An act relating to appeals of pro se litigants in proceedings under Act 250 and under 24 V.S.A. chapter 117,,
H.677,2014,1/23/14,An act relating to application fees for energy siting review,,
H.261,2017,2/14/17,An act relating to application of stormwater permitting to municipalities,,
H.6,2015,1/13/15,An act relating to application of the lake shoreland protection standards,,
H.515,2016,1/5/16,An act relating to application of the lake shoreland protection standards to the Connecticut River reservoirs,,
H.602,2016,1/21/16,An act relating to application of the solid waste franchise tax,,
H.679,2018,1/23/18,An act relating to application of the solid waste franchise tax,,
H.21,2013,1/15/13,An act relating to applying for an early voter absentee ballot,,
H.826,2018,2/1/18,An act relating to applying for an early voter absentee ballot on the day preceding an election,,
S.60,2011,2/11/11,An act relating to applying the federal alternative minimum tax at the state level,,
S.94,2015,2/18/15,An act relating to appointing municipal clerks and treasurers,,
H.55,2017,1/17/17,An act relating to appointing public defenders for accused persons 25 years of age or less,,
H.458,2017,2/24/17,An act relating to appointment of a ratepayer advocate within the Office of the Attorney General,,
S.16,2013,1/11/13,An act relating to appointment to the Public Service Board,,
H.7,2011,1/7/11,An act relating to appointments to the mental health oversight committee,,
H.267,2011,2/17/11,An act relating to appropriation for John Deere memorial,,
H.122,2017,1/24/17,An act relating to appropriations for Vermont State Colleges,,
S.144,2017,3/31/17,An act relating to approval of amendments to the charter of the Town of Stowe,,
H.92,2015,1/29/15,An act relating to approval of an amendment to the charter of the City of Burlington prohibiting firearms on properties of establishments licensed to serve alcohol on premises,,
H.568,2016,1/15/16,An act relating to approval of an amendment to the charter of the City of Burlington prohibiting possession of firearms on premises where alcohol is licensed to be served,,
H.567,2016,1/15/16,An act relating to approval of an amendment to the charter of the City of Burlington regarding police confiscation of deadly or dangerous weapons,,
H.90,2015,1/29/15,An act relating to approval of an amendment to the charter of the City of Burlington regarding police confiscation or seizure of deadly or dangerous weapons,,
H.91,2015,1/29/15,An act relating to approval of an amendment to the charter of the City of Burlington requiring firearms to be locked in safe storage depositories or placed in locking devices,,
H.566,2016,1/15/16,An act relating to approval of an amendment to the charter of the City of Burlington requiring firearms to be locked in safe storage depositories or placed in locking devices,,
H.6,2017,1/5/17,An act relating to approval of an amendment to the charter of the City of Montpelier regarding the regulation of its public water supply sources,,
H.393,2013,2/26/13,An act relating to approval of an amendment to the charter of the City of South Burlington regarding the Library Department,,
H.392,2013,2/26/13,An act relating to approval of an amendment to the charter of the City of South Burlington regarding the Office of the City Clerk,,
H.269,2011,2/17/11,An act relating to approving county budgets,,
H.213,2015,2/13/15,An act relating to approving county budgets,,
H.500,2015,4/14/15,An act relating to appurtenant dwelling units under the use value appraisal program,,
H.141,2017,1/27/17,An act relating to appurtenant dwelling units under the use value appraisal program,,
H.591,2012,1/25/12,An act relating to APRN hospital staff privileges,,
S.45,2015,1/29/15,An act relating to aquatic nuisance control,,
H.222,2011,2/10/11,An act relating to arbitration of medical malpractice claims,,
S.42,2011,2/1/11,An act relating to art galleries serving malt or vinous beverages,,
H.265,2011,2/17/11,An act relating to assault of a health care worker,,
S.66,2011,2/11/11,An act relating to assault of a health care worker,,
H.411,2015,3/10/15,An act relating to assessing legal remedies against the manufacturers of processed foods and beverages that contain added sugar,,
H.763,2014,1/30/14,An act relating to assessing needs in preparing the State budget,,
H.638,2016,1/26/16,An act relating to assessment of points for convictions of violating the law against handheld use of portable electronic devices while driving,,
H.302,2011,2/22/11,An act relating to assigning responsibilities regarding information security to the department of information and innovation,,
H.601,2014,1/15/14,An act relating to assistance from the petroleum cleanup fund for aboveground storage tanks,,
H.850,2016,2/18/16,An act relating to assistance with and participation in Public Service Board proceedings,,
H.849,2018,2/2/18,An act relating to assistant judges,,
H.748,2014,1/30/14,An act relating to assuming administrative control of a school district or supervisory union,,
H.832,2016,1/29/16,An act relating to attracting and retaining Vermont's next generation,,
H.636,2014,1/21/14,An act relating to audio recording plan of care meetings at nursing homes,,
H.236,2013,2/8/13,An act relating to audits of a school district's financial statements,,
H.815,2014,2/4/14,An act relating to audits of a school district's financial statements,,
H.155,2015,2/6/15,An act relating to audits of a school district's financial statements,,
H.830,2014,2/4/14,An act relating to authority of health care providers,,
H.335,2015,2/26/15,An act relating to authorized sole contractors,,
H.701,2018,1/25/18,An act relating to authorized spending of Class 2 Town Highway Roadway Program grants,,
H.780,2014,1/31/14,An act relating to authorizing a local option motor fuel tax,,
H.847,2016,2/12/16,An act relating to authorizing a maximum compensation ratio for benefit corporations,,
H.129,2013,2/1/13,An act relating to authorizing a person to carry a handgun while hunting with a bow and arrow or training hunting dogs,,
S.99,2017,2/28/17,An act relating to authorizing additional tax increment financing districts,,
H.612,2012,1/26/12,An act relating to authorizing arbitration for unit owners of condominiums and common interest communities,,
H.7,2013,1/10/13,An act relating to authorizing arbitration for unit owners of condominiums and common interest communities,,
H.339,2017,2/21/17,An act relating to authorizing assistant judges to serve as mediators in certain family proceedings,,
H.232,2011,2/11/11,An act relating to authorizing award of funds to the poor or indigent in executive session of a public body,,
H.607,2014,1/15/14,An act relating to authorizing cash advances for members of boards and commissions when traveling as part of their official duties,,
H.396,2011,3/8/11,An act relating to authorizing company-specific background growth rates for the Vermont employment growth incentive program,,
H.543,2012,1/13/12,An act relating to authorizing fire department vehicles to display a blue light,,
H.596,2012,1/26/12,An act relating to authorizing gravel removal by municipalities,,
H.462,2012,1/3/12,An act relating to authorizing hunting licenses for persons with a visual limitation,,
H.490,2013,3/12/13,An act relating to authorizing industrial hemp licenses,,
S.29,2013,1/15/13,An act relating to authorizing industrial hemp licenses,,
H.180,2011,2/8/11,An act relating to authorizing motor vehicle use on state lands for hunting by senior citizens or persons with a disability,,
H.105,2011,1/25/11,An act relating to authorizing municipalities to form telecommunications districts,,
H.231,2017,2/10/17,An act relating to authorizing municipalities to prohibit through traffic by heavy vehicles,,
H.33,2015,1/20/15,An act relating to authorizing municipalities to regulate the surface water use of public waters used as drinking water supplies,,
H.417,2017,2/23/17,An act relating to authorizing municipalities to regulate the surface water use of public waters used as drinking water supplies,,
S.98,2011,3/15/11,An act relating to authorizing owner-financed property sales,,
H.418,2011,3/8/11,An act relating to authorizing placement of certain signs and devices in highway rights-of-way,,
H.474,2012,1/3/12,An act relating to authorizing public high school choice and adjusting tuition payments to regional technical centers,,
H.37,2017,1/12/17,An act relating to authorizing repossession of commercial property,,
H.338,2015,2/26/15,An act relating to authorizing substitute collateral for mechanics' liens,,
H.217,2011,2/10/11,An act relating to authorizing taxation of common interest community property,,
H.382,2011,3/8/11,An act relating to authorizing the creation of public charter schools in Vermont,,
H.782,2014,1/31/14,An act relating to authorizing the issuance of a restricted driver's license pending payment of traffic violation fines,,
S.242,2014,1/7/14,An act relating to authorizing the Public Service Board to regulate materials recovery recycling facilities,,
H.394,2013,2/26/13,An act relating to authorizing the Secretary of Natural Resources to make site-specific resource determinations,,
H.587,2016,1/20/16,An act relating to authorizing the use of a light to hunt coyotes,,
H.277,2017,2/15/17,An act relating to authorizing the use of a light to hunt coyotes,,
H.402,2015,3/10/15,An act relating to authorizing the Vermont ABLE savings program,,
S.77,2015,2/10/15,An act relating to authorizing the Vermont Department of Health to charge fees necessary to support Vermont's status as a Nuclear Regulatory Commission Agreement State,,
H.893,2018,2/20/18,An act relating to authorizing towns to increase the smoking age to 21,,
H.322,2011,2/24/11,An act relating to authorizing voting student members to serve on local school boards,,
H.565,2014,1/9/14,An act relating to autocycles,,
S.151,2018,1/3/18,An act relating to autocycles,,
H.656,2012,1/31/12,An act relating to automated external defibrillators in nursing homes,,
H.605,2018,1/11/18,An act relating to automated license plate recognition systems,,
H.55,2015,1/23/15,An act relating to automatic renewal provisions in consumer contracts,,
H.286,2017,2/16/17,An act relating to automatic renewal provisions in consumer contracts,,
H.112,2017,1/24/17,An act relating to automobile advertising,,
H.462,2015,3/10/15,An act relating to automobile insurance,,
H.362,2013,2/26/13,An act relating to automobile insurance and aftermarket parts,,
H.651,2018,1/18/18,An act relating to automobile insurance discounts for seniors,,
H.143,2017,1/27/17,An act relating to automobile insurance requirements and transportation network companies,,
H.326,2011,2/24/11,An act relating to automobile minimum liability coverage,,
S.218,2016,1/5/16,An act relating to automobile minimum liability coverage,,
H.324,2017,2/17/17,An act relating to automobile minimum liability coverage,,
H.277,2011,2/17/11,An act relating to automobile self-insurance,,
H.325,2015,2/26/15,An act relating to averaging capital gains for senior citizens,,
H.408,2011,3/8/11,An act relating to baby bonding,,
S.282,2014,1/7/14,An act relating to bail condition related to release,,
H.553,2014,1/7/14,An act relating to bail conditions,,
S.112,2012,1/3/12,An act relating to bail for persons charged with lewd and lascivious conduct with a child,,
H.465,2012,1/3/12,An act relating to bail in cases of lewd and lascivious conduct with a child and to the inclusion of headmasters of independent schools as mandatory reporters of child abuse and neglect,,
H.78,2013,1/24/13,"An act relating to bail, conditions of release, and the possession of a dangerous or deadly weapon",,
S.91,2017,2/22/17,An act relating to ballot privacy folders,,
H.34,2017,1/12/17,An act relating to banning baby bumper pads,,
H.589,2016,1/20/16,An act relating to banning industrial wind,,
S.210,2016,1/5/16,An act relating to banning industrial wind,,
H.477,2013,3/12/13,An act relating to banning temporary signs from highway and public rights-of-way,,
H.89,2011,1/21/11,An act relating to banning the hunting of black bear with dogs,,
H.59,2015,1/23/15,An act relating to banning the sale of flavored liquid nicotine,,
H.498,2015,4/3/15,An act relating to banning the sale of toxic wood flooring,,
H.632,2014,1/17/14,An act relating to banning the sale or possession of electronic cigarettes,,
H.590,2012,1/24/12,An act relating to barring the prohibition of firearms on certain private or public property,,
